,Modeltype,Scoretype,Datatype,Mean absolute error (mae),Mean squared error (mse),Standard Diviation (SD),Pearson correlation coefficient (r),90% Confidence interval,Coefficient of determination (rÂ²),Spearman correlation coefficient,add. information,Classes,Set,Set size
0,linearRegression,pKd pKi pIC50,all,1.1945948596921925,3.0159134781465284,1.4460627250194038,0.379047,[0.302 ~ 0.451],0.143676,0.522322,GRADE_class1_test,1,test,357
1,linearRegression,pKd pKi pIC50,all,3259347.9773767195,3792495391952853.5,61496928.818961285,-0.013344,[-0.1 ~ 0.074],0.000178,0.515803,X-GRADE_class1_test,1,test,357
2,Ridge,pKd pKi pIC50,all,1.1919382862868961,2.982172241012232,1.4347853856016959,0.382051,[0.305 ~ 0.454],0.145963,0.522909,GRADE_class1_test,1,test,357
3,Ridge,pKd pKi pIC50,all,1915561.294035264,1309944075135361.8,36142424.10700222,-0.013344,[-0.1 ~ 0.074],0.000178,0.521674,X-GRADE_class1_test,1,test,357
4,Lasso,pKd pKi pIC50,all,1.1831625923654507,2.893411328414779,1.3992953943069357,0.388429,[0.312 ~ 0.46],0.150877,0.523647,GRADE_class1_test,1,test,357
5,Lasso,pKd pKi pIC50,all,1738578.5432356957,1079086463630038.0,32803411.565517165,-0.013345,[-0.1 ~ 0.074],0.000178,0.531398,X-GRADE_class1_test,1,test,357
6,ElasticNet,pKd pKi pIC50,all,1.185548119857643,2.9093090083219377,1.4081995363484878,0.38812,[0.311 ~ 0.46],0.150637,0.52337,GRADE_class1_test,1,test,357
7,ElasticNet,pKd pKi pIC50,all,3286910.9736174075,3856923446831272.5,62017092.83469896,-0.013345,[-0.1 ~ 0.074],0.000178,0.522145,X-GRADE_class1_test,1,test,357
8,SVR,pKd pKi pIC50,all,1.0623798299066949,1.8086382277169193,1.1022324262949021,0.582906,[0.522 ~ 0.638],0.339779,0.582065,GRADE_class1_test,1,test,357
9,SVR,pKd pKi pIC50,all,1.0586537288706144,1.8259217641743708,1.1257422296751873,0.579815,[0.519 ~ 0.635],0.336185,0.579206,X-GRADE_class1_test,1,test,357
10,DecisionTree,pKd pKi pIC50,all,1.5277030812324925,3.680609243697479,1.8701598555815173,0.410051,[0.335 ~ 0.48],0.168141,0.403107,GRADE_class1_test,1,test,357
11,DecisionTree,pKd pKi pIC50,all,1.5928011204481796,3.9996546218487397,1.7566382373844562,0.310207,[0.229 ~ 0.387],0.096229,0.305631,X-GRADE_class1_test,1,test,357
12,RandomForest,pKd pKi pIC50,all,1.0580759103641455,1.8121896939775906,1.1104509840986876,0.581982,[0.521 ~ 0.637],0.338703,0.573407,GRADE_class1_test,1,test,357
13,RandomForest,pKd pKi pIC50,all,1.0366081232492999,1.7569168712885157,1.0957641577048887,0.596747,[0.538 ~ 0.65],0.356106,0.605189,X-GRADE_class1_test,1,test,357
14,XGBoost,pKd pKi pIC50,all,1.1127383618795572,2.0218838253927265,1.2979377508163452,0.556584,[0.493 ~ 0.614],0.309785,0.557244,GRADE_class1_test,1,test,357
15,XGBoost,pKd pKi pIC50,all,1.1854276736978056,2.2178760608349757,1.238008737564087,0.503147,[0.435 ~ 0.566],0.253157,0.51467,X-GRADE_class1_test,1,test,357
16,linearRegression,pKd pKi pIC50,ki,1.281934717992579,4.242911906199497,1.8628398032676918,0.315352,[0.235 ~ 0.392],0.099447,0.51971,GRADE_class1_test,1,test,357
17,linearRegression,pKd pKi pIC50,ki,8.45673340857976e+31,2.5531333359932686e+66,1.5956132683074838e+33,0.013345,[-0.074 ~ 0.1],0.000178,0.53248,X-GRADE_class1_test,1,test,357
18,Ridge,pKd pKi pIC50,ki,1.2736935228558033,4.099498558468489,1.8245767364290522,0.322306,[0.242 ~ 0.398],0.103881,0.5207,GRADE_class1_test,1,test,357
19,Ridge,pKd pKi pIC50,ki,3.1211808348559795e+17,3.477811819929261e+37,5.88903222110873e+18,0.013345,[-0.074 ~ 0.1],0.000178,0.497149,X-GRADE_class1_test,1,test,357
20,Lasso,pKd pKi pIC50,ki,1.2581659982992508,3.8490695616260915,1.7486151177110796,0.332806,[0.253 ~ 0.408],0.11076,0.520272,GRADE_class1_test,1,test,357
21,Lasso,pKd pKi pIC50,ki,28020516.050453827,2.802975424104957e+17,528689320.06858695,0.013345,[-0.074 ~ 0.1],0.000178,0.528413,X-GRADE_class1_test,1,test,357
22,ElasticNet,pKd pKi pIC50,ki,1.2540945558997352,3.777097524643059,1.7319018944514757,0.33846,[0.259 ~ 0.413],0.114555,0.521858,GRADE_class1_test,1,test,357
23,ElasticNet,pKd pKi pIC50,ki,1.678350334459009e+17,1.0056189647287835e+37,3.166705077653435e+18,0.013345,[-0.074 ~ 0.1],0.000178,0.525386,X-GRADE_class1_test,1,test,357
24,SVR,pKd pKi pIC50,ki,1.0842225149748874,1.9519323982500802,1.3136108542952931,0.580465,[0.52 ~ 0.635],0.33694,0.575459,GRADE_class1_test,1,test,357
25,SVR,pKd pKi pIC50,ki,1.076918674612842,1.9926266794173348,1.2743077024571585,0.56558,[0.503 ~ 0.622],0.319881,0.568311,X-GRADE_class1_test,1,test,357
26,DecisionTree,pKd pKi pIC50,ki,1.7091876750700281,4.4506661064425765,1.9946634135225558,0.346755,[0.268 ~ 0.421],0.120239,0.351423,GRADE_class1_test,1,test,357
27,DecisionTree,pKd pKi pIC50,ki,1.474173669467787,3.6194616246498597,1.8917038364429315,0.440468,[0.367 ~ 0.508],0.194012,0.4404,X-GRADE_class1_test,1,test,357
28,RandomForest,pKd pKi pIC50,ki,1.1094717086834736,2.0125995599439777,1.293584858376639,0.567451,[0.505 ~ 0.624],0.322,0.567145,GRADE_class1_test,1,test,357
29,RandomForest,pKd pKi pIC50,ki,1.068643137254902,1.8585536178711493,1.2931830000953144,0.598379,[0.539 ~ 0.652],0.358057,0.603674,X-GRADE_class1_test,1,test,357
30,XGBoost,pKd pKi pIC50,ki,1.2270352455614661,2.430261002066453,1.5478359460830688,0.524661,[0.458 ~ 0.585],0.275269,0.518213,GRADE_class1_test,1,test,357
31,XGBoost,pKd pKi pIC50,ki,1.251839572935879,2.5099070318407466,1.5187866687774658,0.502557,[0.434 ~ 0.565],0.252564,0.501944,X-GRADE_class1_test,1,test,357
32,linearRegression,pKd pKi pIC50,kd,1.1694539331631137,2.288043280226374,1.044629890892886,0.455033,[0.383 ~ 0.522],0.207055,0.513908,GRADE_class1_test,1,test,357
33,linearRegression,pKd pKi pIC50,kd,679165384712.0963,1.6467182521830888e+26,12814466808982.768,0.013345,[-0.074 ~ 0.1],0.000178,0.472182,X-GRADE_class1_test,1,test,357
34,Ridge,pKd pKi pIC50,kd,1.1666864004109017,2.2692590569245796,1.0357154544029374,0.458444,[0.387 ~ 0.525],0.210171,0.514941,GRADE_class1_test,1,test,357
35,Ridge,pKd pKi pIC50,kd,13391194.327347988,6.401005279399454e+16,252647535.285883,-0.013348,[-0.1 ~ 0.074],0.000178,0.49601,X-GRADE_class1_test,1,test,357
36,Lasso,pKd pKi pIC50,kd,1.1549610684320588,2.203274296192613,0.9957198121278844,0.469899,[0.399 ~ 0.535],0.220805,0.519081,GRADE_class1_test,1,test,357
37,Lasso,pKd pKi pIC50,kd,4155111.6947025964,6163202626889590.0,78396044.65315619,-0.013346,[-0.1 ~ 0.074],0.000178,0.511938,X-GRADE_class1_test,1,test,357
38,ElasticNet,pKd pKi pIC50,kd,1.1578549387090689,2.216667562378488,1.006465216771486,0.467841,[0.397 ~ 0.533],0.218875,0.518802,GRADE_class1_test,1,test,357
39,ElasticNet,pKd pKi pIC50,kd,733267.0952021916,191951347044525.25,13835232.823509268,-0.013345,[-0.1 ~ 0.074],0.000178,0.525415,X-GRADE_class1_test,1,test,357
40,SVR,pKd pKi pIC50,kd,1.102135766589353,1.920025814800259,0.9424742246734109,0.549761,[0.486 ~ 0.608],0.302237,0.556101,GRADE_class1_test,1,test,357
41,SVR,pKd pKi pIC50,kd,1.1029943479031563,1.8430870033419173,0.925093574842905,0.573877,[0.512 ~ 0.63],0.329335,0.54609,X-GRADE_class1_test,1,test,357
42,DecisionTree,pKd pKi pIC50,kd,1.6195238095238098,4.1048462184873955,1.8973152765352461,0.352675,[0.274 ~ 0.427],0.12438,0.347951,GRADE_class1_test,1,test,357
43,DecisionTree,pKd pKi pIC50,kd,1.5070868347338935,3.6726703081232497,1.6577557862353423,0.360069,[0.282 ~ 0.434],0.12965,0.394181,X-GRADE_class1_test,1,test,357
44,RandomForest,pKd pKi pIC50,kd,1.0604532212885152,1.7907452044257701,0.9425378679753598,0.586884,[0.527 ~ 0.641],0.344433,0.581082,GRADE_class1_test,1,test,357
45,RandomForest,pKd pKi pIC50,kd,1.076705602240896,1.8199931597478987,0.9535654575835076,0.58433,[0.524 ~ 0.639],0.341442,0.594165,X-GRADE_class1_test,1,test,357
46,XGBoost,pKd pKi pIC50,kd,1.1629322641837496,2.1915768845979144,1.146712064743042,0.491763,[0.423 ~ 0.555],0.241831,0.513445,GRADE_class1_test,1,test,357
47,XGBoost,pKd pKi pIC50,kd,1.2054979027553099,2.2014936718694065,1.1320253610610962,0.507069,[0.439 ~ 0.569],0.257119,0.510602,X-GRADE_class1_test,1,test,357
48,linearRegression,pKd pKi pIC50,all,1.2599517011068988,4.435774020454298,1.87204161571004,0.301959,[0.278 ~ 0.326],0.091179,0.500599,GRADE_class2_test,2,test,3806
49,linearRegression,pKd pKi pIC50,all,1.3218900856746796,2.801193510521709,0.9325969961910746,0.520374,[0.376 ~ 0.64],0.27079,0.578315,GRADE_class2_val,2,val,85
50,linearRegression,pKd pKi pIC50,all,149.01448066095486,48281192.795413755,6947.826320243374,0.023593,[-0.003 ~ 0.05],0.000557,0.50645,X-GRADE_class2_test,2,test,3806
51,linearRegression,pKd pKi pIC50,all,1.2257213142785566,2.5376524458082215,0.8782347805410081,0.588478,[0.457 ~ 0.695],0.346307,0.593871,X-GRADE_class2_val,2,val,85
52,Ridge,pKd pKi pIC50,all,1.257914719425992,4.435246304883495,1.8715589529268912,0.301763,[0.277 ~ 0.326],0.091061,0.501187,GRADE_class2_test,2,test,3806
53,Ridge,pKd pKi pIC50,all,1.3207045405000433,2.7967221625287055,0.9281566493300654,0.521107,[0.377 ~ 0.641],0.271553,0.578119,GRADE_class2_val,2,val,85
54,Ridge,pKd pKi pIC50,all,17.087158966909282,653993.8134784425,808.678762938959,0.037072,[0.01 ~ 0.064],0.001374,0.511699,X-GRADE_class2_test,2,test,3806
55,Ridge,pKd pKi pIC50,all,1.2290582655587474,2.5240180208318552,0.8697012449250151,0.59134,[0.461 ~ 0.697],0.349683,0.608363,X-GRADE_class2_val,2,val,85
56,Lasso,pKd pKi pIC50,all,1.2509751168234637,4.338251037690879,1.8422260813475115,0.304479,[0.28 ~ 0.328],0.092707,0.503038,GRADE_class2_test,2,test,3806
57,Lasso,pKd pKi pIC50,all,1.3178130037567675,2.7812595491437033,0.9059214129349659,0.52308,[0.379 ~ 0.642],0.273613,0.575833,GRADE_class2_val,2,val,85
58,Lasso,pKd pKi pIC50,all,2.080388124940114,474.63292112289946,21.74345105172048,0.0189,[-0.008 ~ 0.046],0.000357,0.5207,X-GRADE_class2_test,2,test,3806
59,Lasso,pKd pKi pIC50,all,1.2590622576072836,2.577614696423809,0.7813079984756967,0.576727,[0.443 ~ 0.685],0.332614,0.599128,X-GRADE_class2_val,2,val,85
60,ElasticNet,pKd pKi pIC50,all,1.2547656709006407,4.409227820442593,1.8635433530857313,0.302348,[0.278 ~ 0.326],0.091414,0.502086,GRADE_class2_test,2,test,3806
61,ElasticNet,pKd pKi pIC50,all,1.3196149458155935,2.7914872167878912,0.9215195373307918,0.521826,[0.378 ~ 0.641],0.272302,0.580035,GRADE_class2_val,2,val,85
62,ElasticNet,pKd pKi pIC50,all,2.4077199007207204,871.7906913979914,29.475130074060786,0.006551,[-0.02 ~ 0.033],4.3e-05,0.527679,X-GRADE_class2_test,2,test,3806
63,ElasticNet,pKd pKi pIC50,all,1.2598210159596284,2.5650066867776764,0.7683096276208965,0.584102,[0.452 ~ 0.691],0.341175,0.612232,X-GRADE_class2_val,2,val,85
64,SVR,pKd pKi pIC50,all,1.1021319820978848,1.956281956140768,1.1339660405631784,0.56615,[0.548 ~ 0.584],0.320526,0.550183,GRADE_class2_test,2,test,3806
65,SVR,pKd pKi pIC50,all,1.1944264216643188,2.4665850607912643,0.9592613366622427,0.580115,[0.447 ~ 0.688],0.336533,0.600096,GRADE_class2_val,2,val,85
66,SVR,pKd pKi pIC50,all,1.1221613033648388,2.02714037429712,1.1284664390994232,0.546021,[0.527 ~ 0.564],0.298138,0.535857,X-GRADE_class2_test,2,test,3806
67,SVR,pKd pKi pIC50,all,1.2790166510490306,2.776018577148456,0.8986295823766779,0.502442,[0.355 ~ 0.626],0.252448,0.506141,X-GRADE_class2_val,2,val,85
68,DecisionTree,pKd pKi pIC50,all,1.5312611665790856,3.784280189174987,1.7896451942443843,0.373186,[0.35 ~ 0.396],0.139268,0.354244,GRADE_class2_test,2,test,3806
69,DecisionTree,pKd pKi pIC50,all,1.6827058823529408,4.487024705882353,1.703055280135449,0.317962,[0.147 ~ 0.471],0.1011,0.28986,GRADE_class2_val,2,val,85
70,DecisionTree,pKd pKi pIC50,all,1.5741329479768784,3.917062033631109,1.832531091609549,0.367174,[0.344 ~ 0.39],0.134817,0.35254,X-GRADE_class2_test,2,test,3806
71,DecisionTree,pKd pKi pIC50,all,1.749058823529412,4.739751764705882,1.9517601673528056,0.364849,[0.198 ~ 0.511],0.133115,0.388509,X-GRADE_class2_val,2,val,85
72,RandomForest,pKd pKi pIC50,all,1.060712217551235,1.8134278268392015,1.100791201669839,0.603956,[0.587 ~ 0.621],0.364763,0.581589,GRADE_class2_test,2,test,3806
73,RandomForest,pKd pKi pIC50,all,1.1972835294117647,2.3034747838823533,0.822492119611811,0.650435,[0.533 ~ 0.743],0.423066,0.639388,GRADE_class2_val,2,val,85
74,RandomForest,pKd pKi pIC50,all,1.0607994219653178,1.8183232574671573,1.1086500263268073,0.600499,[0.583 ~ 0.617],0.360599,0.575028,X-GRADE_class2_test,2,test,3806
75,RandomForest,pKd pKi pIC50,all,1.1214764705882352,2.104664620823529,0.8803195907432521,0.694959,[0.589 ~ 0.778],0.482968,0.701271,X-GRADE_class2_val,2,val,85
76,XGBoost,pKd pKi pIC50,all,1.1601946798801672,2.1707645676483147,1.297970175743103,0.536895,[0.518 ~ 0.556],0.288256,0.517288,GRADE_class2_test,2,test,3806
77,XGBoost,pKd pKi pIC50,all,1.3265156442978805,2.729868614055438,1.0626966953277588,0.524118,[0.38 ~ 0.643],0.274699,0.517047,GRADE_class2_val,2,val,85
78,XGBoost,pKd pKi pIC50,all,1.1627477061842468,2.1811520348202897,1.323969841003418,0.53801,[0.519 ~ 0.557],0.289455,0.513688,X-GRADE_class2_test,2,test,3806
79,XGBoost,pKd pKi pIC50,all,1.2468082335976993,2.634979718324295,1.1535738706588745,0.533278,[0.391 ~ 0.651],0.284385,0.576351,X-GRADE_class2_val,2,val,85
80,linearRegression,pKd pKi pIC50,ki,1.310046823495529,3.622964809956343,1.7197734048270188,0.377426,[0.354 ~ 0.4],0.142451,0.496022,GRADE_class2_test,2,test,3806
81,linearRegression,pKd pKi pIC50,ki,1.2812250322098386,2.4674942510094553,0.9865760405213845,0.572629,[0.438 ~ 0.682],0.327904,0.595376,GRADE_class2_val,2,val,85
82,linearRegression,pKd pKi pIC50,ki,4.0771195588920193e+24,6.321839661196192e+52,2.513996294907064e+26,0.000802,[-0.026 ~ 0.027],1e-06,0.497083,X-GRADE_class2_test,2,test,3806
83,linearRegression,pKd pKi pIC50,ki,1.1856800923527024,2.268572191520727,1.1528753526812519,0.615114,[0.49 ~ 0.716],0.378365,0.626899,X-GRADE_class2_val,2,val,85
84,Ridge,pKd pKi pIC50,ki,1.3040551726655794,3.58877854805663,1.7071520494916723,0.379106,[0.356 ~ 0.402],0.143722,0.497144,GRADE_class2_test,2,test,3806
85,Ridge,pKd pKi pIC50,ki,1.2779321693056804,2.4620379207070973,0.9781658307396311,0.574357,[0.44 ~ 0.683],0.329886,0.596656,GRADE_class2_val,2,val,85
86,Ridge,pKd pKi pIC50,ki,303916093782.9655,1.8359244753641158e+26,13547659426711.727,-0.017593,[-0.044 ~ 0.009],0.00031,0.49217,X-GRADE_class2_test,2,test,3806
87,Ridge,pKd pKi pIC50,ki,1.2165599354849124,2.395662962865163,1.075500569504249,0.587345,[0.456 ~ 0.694],0.344974,0.626108,X-GRADE_class2_val,2,val,85
88,Lasso,pKd pKi pIC50,ki,1.2969380299288467,3.4825250667968968,1.6715272903673501,0.385313,[0.362 ~ 0.408],0.148466,0.499075,GRADE_class2_test,2,test,3806
89,Lasso,pKd pKi pIC50,ki,1.2702620582152746,2.454825950694368,0.9526211647090344,0.577584,[0.444 ~ 0.686],0.333603,0.598874,GRADE_class2_val,2,val,85
90,Lasso,pKd pKi pIC50,ki,226432630137.49225,1.2795971394020723e+26,11309661454005.45,-0.017976,[-0.045 ~ 0.009],0.000323,0.502351,X-GRADE_class2_test,2,test,3806
91,Lasso,pKd pKi pIC50,ki,1.1679412988592905,2.166296596861945,0.9238363850101142,0.665294,[0.552 ~ 0.755],0.442616,0.687591,X-GRADE_class2_val,2,val,85
92,ElasticNet,pKd pKi pIC50,ki,1.297567194161603,3.5251510944270246,1.6851310363936953,0.382676,[0.36 ~ 0.405],0.146441,0.498684,GRADE_class2_test,2,test,3806
93,ElasticNet,pKd pKi pIC50,ki,1.2714176860981155,2.453994479487539,0.9581230550390705,0.577478,[0.444 ~ 0.686],0.333481,0.594653,GRADE_class2_val,2,val,85
94,ElasticNet,pKd pKi pIC50,ki,249966460568.67935,1.385409436581313e+26,11768289708198.977,-0.017856,[-0.045 ~ 0.009],0.000319,0.505201,X-GRADE_class2_test,2,test,3806
95,ElasticNet,pKd pKi pIC50,ki,1.1839960224505575,2.2297964155763528,0.9761264845837296,0.638478,[0.518 ~ 0.734],0.407655,0.665908,X-GRADE_class2_val,2,val,85
96,SVR,pKd pKi pIC50,ki,1.1423418847492695,2.1086114175056614,1.2010109431023572,0.577345,[0.559 ~ 0.595],0.333327,0.558602,GRADE_class2_test,2,test,3806
97,SVR,pKd pKi pIC50,ki,1.1559225442901246,2.3361700866209745,1.0477472596355812,0.612599,[0.486 ~ 0.714],0.375277,0.612349,GRADE_class2_val,2,val,85
98,SVR,pKd pKi pIC50,ki,1.1769463661252768,2.220479063840925,1.180452143715536,0.532202,[0.513 ~ 0.551],0.283239,0.518847,X-GRADE_class2_test,2,test,3806
99,SVR,pKd pKi pIC50,ki,1.1796327342183335,2.428015039233897,0.9332930765409225,0.596433,[0.467 ~ 0.701],0.355732,0.611675,X-GRADE_class2_val,2,val,85
100,DecisionTree,pKd pKi pIC50,ki,1.5634918549658434,3.9189235680504466,1.8747947097150288,0.42501,[0.403 ~ 0.447],0.180633,0.404208,GRADE_class2_test,2,test,3806
101,DecisionTree,pKd pKi pIC50,ki,1.442470588235294,3.548904705882353,1.5123268993570906,0.419384,[0.259 ~ 0.557],0.175883,0.40809,GRADE_class2_val,2,val,85
102,DecisionTree,pKd pKi pIC50,ki,1.4848476090383604,3.533779217025749,1.7558199834144996,0.426337,[0.404 ~ 0.448],0.181763,0.409463,X-GRADE_class2_test,2,test,3806
103,DecisionTree,pKd pKi pIC50,ki,1.504117647058824,3.3323470588235296,1.4217821362313476,0.430517,[0.272 ~ 0.566],0.185345,0.443328,X-GRADE_class2_val,2,val,85
104,RandomForest,pKd pKi pIC50,ki,1.1217553599579613,2.0852989714634798,1.1965905475211938,0.585889,[0.568 ~ 0.603],0.343266,0.558561,GRADE_class2_test,2,test,3806
105,RandomForest,pKd pKi pIC50,ki,1.2116188235294116,2.490023692941178,0.9103205249834961,0.59084,[0.46 ~ 0.697],0.349092,0.584363,GRADE_class2_val,2,val,85
106,RandomForest,pKd pKi pIC50,ki,1.1038790856542304,2.0015705503678407,1.1722505749630565,0.590932,[0.573 ~ 0.608],0.3492,0.565233,X-GRADE_class2_test,2,test,3806
107,RandomForest,pKd pKi pIC50,ki,1.1997117647058817,2.31507693635294,0.9562456618778507,0.639212,[0.519 ~ 0.735],0.408592,0.628385,X-GRADE_class2_val,2,val,85
108,XGBoost,pKd pKi pIC50,ki,1.1941497982782372,2.3452899351044065,1.438319206237793,0.54985,[0.531 ~ 0.568],0.302335,0.529671,GRADE_class2_test,2,test,3806
109,XGBoost,pKd pKi pIC50,ki,1.275075153799618,2.6345321817830283,1.150030255317688,0.531951,[0.39 ~ 0.65],0.282971,0.488982,GRADE_class2_val,2,val,85
110,XGBoost,pKd pKi pIC50,ki,1.1980570829547337,2.3182466034160942,1.5018125772476196,0.559518,[0.541 ~ 0.578],0.31306,0.537571,X-GRADE_class2_test,2,test,3806
111,XGBoost,pKd pKi pIC50,ki,1.2637747541315414,2.731749870515581,1.1837122440338135,0.516064,[0.371 ~ 0.637],0.266322,0.5139,X-GRADE_class2_val,2,val,85
112,linearRegression,pKd pKi pIC50,kd,1.2876256588810628,6.504442727778065,2.2572927487067562,0.20135,[0.176 ~ 0.227],0.040542,0.482033,GRADE_class2_test,2,test,3806
113,linearRegression,pKd pKi pIC50,kd,1.4262855207573828,3.200442894529899,0.8191162218469693,0.469435,[0.316 ~ 0.599],0.220369,0.518766,GRADE_class2_val,2,val,85
114,linearRegression,pKd pKi pIC50,kd,24802066214.540363,2.340711974397383e+24,1529737504907.8298,-0.018384,[-0.045 ~ 0.008],0.000338,0.465863,X-GRADE_class2_test,2,test,3806
115,linearRegression,pKd pKi pIC50,kd,1.319480690520828,2.8040867044762297,0.8853750596608848,0.557325,[0.42 ~ 0.67],0.310611,0.539658,X-GRADE_class2_val,2,val,85
116,Ridge,pKd pKi pIC50,kd,1.2859415476971696,6.517295097511585,2.259732182432036,0.200757,[0.175 ~ 0.226],0.040304,0.483195,GRADE_class2_test,2,test,3806
117,Ridge,pKd pKi pIC50,kd,1.4254477011925826,3.195479709908952,0.8125265326325432,0.469616,[0.317 ~ 0.599],0.220539,0.516841,GRADE_class2_val,2,val,85
